scenario,source_gap_percent,rerun_gap_percent,rerun_meets_1pct,runtime_s,committed_cost_change_gbp,maximum_closing_state_difference,closing_workload_change_cpu_h
2025_flex_0p75,1.0744962994273843,1.0145394696908785,false,900.22,-4.973799150320701e-14,0.0,0.0
2025_ups_0p75,2.4413975053863046,0.6270937659840812,true,900.23,-0.2811568618767666,2.1316282072803006e-14,0.0
2025_tes_0p75,1.4778008999087215,0.9585466918457045,true,900.20,-0.030952628053150022,1.0658141036401503e-14,0.0
2025_flex_1p25,2.031802160479782,2.031802160479782,false,900.21,-5.684341886080802e-14,0.0,0.0
