case_id,date,sample_order,param,level,price_scenario,base_cost_gbp,opt_cost_gbp,saving_gbp,saving_pct,opt_cost_ext_sum_gbp,saving_pct_ext_sum,opt_cost_it_gbp,opt_cost_cooling_gbp,opt_cost_ups_charge_gbp,opt_cost_other_gbp,base_cost_it_gbp,base_cost_cooling_gbp,base_cost_ups_charge_gbp,base_cost_other_gbp,nominal_max_ups_kw,nominal_max_tes_w,price_mean_gbp_per_mwh,price_min_gbp_per_mwh,price_max_gbp_per_mwh,price_std_gbp_per_mwh,negative_price_hours,extension_price_mean_gbp_per_mwh,runtime_s,saving_it_gbp,saving_cooling_gbp,saving_ups_charge_gbp,saving_other_gbp
imrp_20250522,2025-05-22,20,price_day,20.0,2025-05-22,1595.38,1558.62,36.77,2.305,1558.62,2.305,1068.81,272.92,26.29,109.96,1182.0,303.43,0.0,109.96,0.0,0.0,86.292,69.97,107.42,11.501,0.0,82.147,2.9,113.19000000000005,30.50999999999999,-26.29,0.0
imrp_20250530,2025-05-30,21,price_day,21.0,2025-05-30,1177.98,1144.35,33.63,2.855,1144.35,2.855,784.49,191.52,0.0,77.12,875.47,225.39,0.0,77.12,0.0,0.0,60.518,25.12,111.59,27.956,0.0,81.96,2.6,90.98000000000002,33.869999999999976,0.0,0.0
imrp_20250606,2025-06-06,22,price_day,22.0,2025-06-06,1392.35,1325.13,67.22,4.828,1325.13,4.828,904.82,222.2,35.53,94.95,1032.72,264.68,0.0,94.95,0.0,0.0,74.515,47.26,103.36,19.991,0.0,80.273,3.4,127.89999999999998,42.48000000000002,-35.53,0.0
imrp_20250614,2025-06-14,23,price_day,23.0,2025-06-14,1268.06,1177.16,90.9,7.169,1177.16,7.169,810.82,190.95,2.87,88.58,939.94,239.55,0.0,88.58,0.0,0.0,69.514,7.8,99.06,28.398,0.0,76.083,3.2,129.12,48.60000000000002,-2.87,0.0
imrp_20250621,2025-06-21,24,price_day,24.0,2025-06-21,1435.64,1337.28,98.36,6.851,1337.28,6.851,915.17,218.84,6.37,99.83,1064.18,271.64,0.0,99.83,0.0,0.0,78.339,17.08,115.33,28.558,0.0,80.6,2.9,149.0100000000001,52.79999999999998,-6.37,0.0
imrp_20250628,2025-06-28,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
imrp_20250706,2025-07-06,26,price_day,26.0,2025-07-06,1360.5,1322.25,38.24,2.811,1322.25,2.811,902.78,227.29,19.37,92.93,1009.14,258.43,0.0,92.93,0.0,0.0,72.925,52.33,95.79,13.068,0.0,75.55,5.3,106.36000000000001,31.140000000000015,-19.37,0.0
imrp_20250713,2025-07-13,27,price_day,27.0,2025-07-13,1549.39,1515.83,33.56,2.166,1515.83,2.166,1057.68,264.67,0.0,106.58,1148.25,294.56,0.0,106.58,0.0,0.0,83.642,71.52,108.36,11.615,0.0,79.07,3.7,90.56999999999994,29.889999999999986,0.0,0.0
imrp_20250720,2025-07-20,28,price_day,28.0,2025-07-20,1456.21,1420.97,35.24,2.42,1420.97,2.42,972.76,244.91,20.17,100.65,1078.98,276.59,0.0,100.65,0.0,0.0,78.985,54.34,98.76,11.433,0.0,75.483,4.1,106.22000000000003,31.67999999999998,-20.17,0.0
imrp_20250728,2025-07-28,29,price_day,29.0,2025-07-28,1508.48,1472.7,35.78,2.372,1472.7,2.372,1028.95,258.28,0.0,103.81,1117.76,286.91,0.0,103.81,0.0,0.0,81.462,68.7,102.17,9.351,0.0,72.2,3.9,88.80999999999995,28.630000000000052,0.0,0.0
