metric,label,unit,count,mean,std,minimum,p05,p25,median,p75,p95,maximum,iqr
base_cost_gbp,Scenario 1 base cost,GBP/day,47,1573.2093617021276,377.9342709554496,804.17,1122.225,1399.845,1512.03,1630.31,2222.443999999999,3198.85,230.46499999999992
opt_cost_gbp,Scenario 2 optimised cost,GBP/day,47,1504.7310638297872,363.245976088512,676.22,1046.49,1335.675,1472.7,1568.995,2162.104999999999,2891.54,233.31999999999994
saving_gbp,Absolute cost saving,GBP/day,47,68.47787234042552,44.76131598175071,33.56,35.051,42.105000000000004,56.35,77.785,126.34499999999997,307.31,35.67999999999999
saving_pct,Relative cost saving,%,47,4.542063829787234,2.937033932715818,2.05,2.2077,2.8200000000000003,3.414,5.0085,10.039599999999997,15.911,2.1884999999999994
saving_it_gbp,IT cost saving,GBP/day,47,119.09255319148937,33.30698441364521,75.28000000000009,83.78699999999998,95.51500000000004,118.11999999999989,133.61,153.94499999999996,285.94000000000005,38.09499999999997
saving_cooling_gbp,Cooling cost saving,GBP/day,47,36.0563829787234,12.208782552546186,20.279999999999973,25.22500000000001,29.855000000000004,33.869999999999976,39.009999999999984,52.058999999999976,100.72000000000003,9.15499999999998
saving_ups_charge_gbp,UPS charging cost difference,GBP/day,47,-16.57085106382979,14.065927198574459,-50.27,-41.339999999999996,-24.880000000000003,-21.57,0.0,0.0,0.0,24.880000000000003
saving_other_gbp,Other-load cost saving,GBP/day,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
