metric,label,unit,count,mean,std,minimum,p05,p25,median,p75,p95,maximum,iqr
base_cost_gbp,Scenario 1 base cost,GBP/day,363,1504.9390082644627,471.92360242004554,36.47,774.533,1332.995,1508.35,1648.37,2157.7809999999995,5010.59,315.375
opt_cost_gbp,Scenario 2 optimised cost,GBP/day,363,1431.080220385675,445.6260647071266,15.95,682.499,1261.4050000000002,1466.23,1589.71,2085.6169999999997,4054.33,328.30499999999984
saving_gbp,Absolute cost saving,GBP/day,363,73.85842975206612,69.36002099313691,16.88,26.941000000000003,42.055,60.36,86.405,138.29999999999995,956.25,44.35
saving_pct,Relative cost saving,%,363,5.634504132231404,5.417744665607932,1.098,1.8112000000000001,2.6665,3.743,6.6579999999999995,15.348999999999995,56.253,3.9914999999999994
saving_it_gbp,IT cost saving,GBP/day,363,119.95931129476585,54.115677973790994,15.299999999999999,68.504,92.23000000000002,119.75000000000011,135.52999999999997,167.7679999999999,770.04,43.299999999999955
saving_cooling_gbp,Cooling cost saving,GBP/day,363,37.38757575757575,19.454429388601866,5.21,20.691000000000027,29.029999999999987,34.95999999999998,41.71499999999999,53.42999999999999,279.7700000000001,12.685000000000002
saving_ups_charge_gbp,UPS charging cost difference,GBP/day,363,-15.0031129476584,13.561067607213992,-60.63,-36.861999999999995,-25.244999999999997,-16.23,0.0,0.0,0.0,25.244999999999997
saving_other_gbp,Other-load cost saving,GBP/day,363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
