date,start_step,start_hour,magnitude_kw,duration_steps,duration_hours,solver_calls,solver_runtime_s,maximum_solver_relative_gap,validated,boundary_verified,duration_is_lower_bound,maximum_target_error_kw,maximum_recovery_energy_shortfall_kwh,maximum_recovery_temperature_error_c,maximum_recovery_workload_excess_cpu_h,maximum_component_closure_error_kw,recovery_steps,solver_quality,solver_relative_gap,solver_meets_accepted_gap
2025-09-22,12,3.0,-450.0,8,2.0,5,0.7141671999979735,0.0009448054477676,True,True,False,0.1000000000001364,0.0,0.003599994962979,1.000000000002735e-07,4.092726157978177e-12,12.0,optimal,1.6327656620033182e-05,True
2025-09-22,12,3.0,-400.0,9,2.25,5,0.8236044000004767,0.0004067537538739,True,True,False,0.1000000000001364,0.0,0.001517028357366,1.0000000000114084e-07,4.092726157978177e-12,12.0,optimal,0.0004067537538739,True
2025-09-22,12,3.0,-350.0,10,2.5,5,0.9100025999996432,0.0003834248944781,True,True,False,0.1000000000001364,0.0,0.0500000000000007,1.000000000002735e-07,4.092726157978177e-12,12.0,optimal,1.342820518925467e-07,True
2025-09-22,12,3.0,-300.0,12,3.0,6,1.2690379999985453,9.354735110069054e-06,True,True,False,0.1000000000001364,0.0,0.0500000000000007,1.000000000002735e-07,4.035882739117369e-12,12.0,optimal,0.0,True
2025-09-22,12,3.0,-250.0,13,3.25,6,1.487008900001456,0.0002541866515889,True,True,False,0.1000000000003638,0.0,0.0500000000000007,1.000000000002735e-07,4.035882739117369e-12,12.0,optimal,0.0001555946648463,True
2025-09-22,12,3.0,-200.0,16,4.0,7,1.4957869999998366,0.0007939878875539,True,True,False,0.1000000000001364,0.0,0.0500000000000007,1.000000000002735e-07,4.035882739117369e-12,12.0,optimal,0.0001744373279627,True
2025-09-22,12,3.0,-150.0,17,4.25,7,1.9176038000023252,0.0001634072609887,True,True,False,0.1000000000000795,0.0,0.0499999999999971,9.999999999940613e-08,4.035882739117369e-12,12.0,optimal,3.652985564672793e-06,True
2025-09-22,12,3.0,-100.0,17,4.25,7,1.2622821000022668,0.0005337512908006,True,True,False,0.1000000000000795,0.0,0.0499999999999971,9.999999999940613e-08,4.035882739117369e-12,12.0,optimal,0.0005337512908006,True
2025-09-22,12,3.0,25.0,48,12.0,12,21.0647409000012,0.0001397028927177,True,True,False,0.100000000069258,0.0,0.0500000000000007,1.0000000000287557e-07,4.035882739117369e-12,12.0,optimal,0.0001397028927177,True
2025-09-22,12,3.0,50.0,7,1.75,4,1.656933400001435,0.0,True,True,False,0.1000000000003638,0.0,0.0010292571103001,1.000000000002735e-07,4.149569576838985e-12,12.0,optimal,0.0,True
2025-09-22,12,3.0,75.0,6,1.5,4,0.5548803000001499,0.0003430120248324,True,True,False,0.1000000000000227,0.0,0.0009657132179121,9.999999999940613e-08,4.064304448547773e-12,12.0,optimal,0.0003260714281755,True
2025-09-22,16,4.0,-500.0,4,1.0,4,0.2816972999989957,0.0005437702651852,True,True,False,0.1000000000001364,0.0,0.0012458151769578,1.000000000002735e-07,2.9558577807620168e-12,12.0,optimal,0.0005437702651852,True
2025-09-22,16,4.0,-450.0,7,1.75,4,0.4930075000011129,0.0002178436273072,True,True,False,0.1000000000000227,0.0,0.0011037592686982,1.000000000002735e-07,2.9558577807620168e-12,12.0,optimal,0.0002178436273072,True
2025-09-22,16,4.0,-400.0,8,2.0,5,0.5113442000019859,0.0007756508180784,True,True,False,0.1000000000001364,0.0,0.0500000000000007,1.000000000002735e-07,3.069544618483633e-12,12.0,optimal,0.0001974525015213,True
2025-09-22,16,4.0,-350.0,8,2.0,5,0.5435790999981691,0.0004988849150986,True,True,False,0.1000000000001364,0.0,0.0014108207089797,1.000000000002735e-07,3.069544618483633e-12,12.0,optimal,0.0004988849150986,True
2025-09-22,16,4.0,-300.0,10,2.5,5,0.9185907000010048,0.0003751799715974,True,True,False,0.1000000000001364,0.0,0.0500000000000007,1.000000000002735e-07,3.069544618483633e-12,12.0,optimal,1.1391233648412476e-16,True
2025-09-22,16,4.0,-250.0,12,3.0,6,1.0686612999979843,3.155207587007999e-06,True,True,False,0.1000000000001364,0.0,0.0500000000000007,1.000000000002735e-07,3.0411229090532288e-12,12.0,optimal,4.277231250746746e-07,True
2025-09-22,16,4.0,-200.0,13,3.25,6,1.139998500000729,3.0555991380409423e-06,True,True,False,0.1000000000001364,0.0,0.0499999999999971,9.999999999940613e-08,2.9842794901924208e-12,12.0,optimal,0.0,True
2025-09-22,16,4.0,-150.0,13,3.25,6,1.2982836999999563,3.4576116376425663e-06,True,True,False,0.1000000000000795,0.0,0.0499999999999971,9.999999999940613e-08,3.0127011996228248e-12,12.0,optimal,0.0,True
2025-09-22,16,4.0,-100.0,13,3.25,6,1.208433400001013,3.261731783820516e-06,True,True,False,0.1000000000000795,0.0,0.0499999999999971,9.999999999940613e-08,3.0127011996228248e-12,12.0,optimal,0.0,True
2025-09-22,16,4.0,25.0,45,11.25,14,131.58771089999573,0.0004671003003156,True,False,True,0.1000000000369709,0.0,0.0499999999999971,1.0000000000287557e-07,4.149569576838985e-12,12.0,optimal,1.3162491142846724e-06,True
2025-09-22,16,4.0,50.0,41,10.25,13,196.61713230000169,0.0009941746080878,True,False,True,0.1000000000049112,0.0,0.0499999999999971,1.0000000000287557e-07,4.177991286269389e-12,12.0,optimal,0.0009735066101569,True
