timestamp_utc,timestamp_local,local_date,source_period,settlement_price_gbp_per_mwh,optimisation_price_gbp_per_mwh,inflexible_cpu,flexible_cpu_processed,total_cpu,p_it_total_kw,p_grid_it_kw,p_ups_charge_kw,p_ups_discharge_kw,p_chiller_hvac_kw,p_chiller_tes_kw,q_tes_charge_kw,q_tes_discharge_kw,grid_import_kw,settlement_cost_gbp,state_start_ups_energy_kwh,state_start_tes_energy_kwh,state_start_it_temperature_c,state_start_rack_temperature_c,state_start_cold_aisle_temperature_c,state_start_hot_aisle_temperature_c,state_end_ups_energy_kwh,state_end_tes_energy_kwh,state_end_it_temperature_c,state_end_rack_temperature_c,state_end_cold_aisle_temperature_c,state_end_hot_aisle_temperature_c
2025-09-21T23:00:00+00:00,2025-09-22T00:00:00+01:00,2025-09-22,1,60.37,60.37,0.28,0.370161894323342,0.650161894323342,638.799655034154,638.799655034154,-0,0,165.830486461224,48.8888888888889,244.444444444444,0,906.614030384266,13.6830722535745,300,-0,37.200253513737,31.3267294756782,23,31.3279202792573,300,55,37.1707493790175,31.3043846495752,23,31.3047739622569
2025-09-21T23:15:00+00:00,2025-09-22T00:15:00+01:00,2025-09-22,1,60.37,60.37,0.27,0.3865,0.6565,645.343613281385,645.343613281385,-0,0,166.620261748768,0,-0,0,865.058875030153,13.0559010713926,300,55,37.1707493790175,31.3043846495752,23,31.3047739622569,300,55,37.251092263653,31.3447092659657,23,31.3440486794256
2025-09-21T23:30:00+00:00,2025-09-22T00:30:00+01:00,2025-09-22,1,60.37,60.37,0.26,0.4259,0.6859,675.698483061669,675.698483061669,-0,0,171.466979693802,0,-0,0,900.260462755471,13.5871810341369,300,55,37.251092263653,31.3447092659657,23,31.3440486794256,300,55,37.7057795845145,31.5891249133601,23,31.5850710050029
2025-09-21T23:45:00+00:00,2025-09-22T00:45:00+01:00,2025-09-22,1,60.37,60.37,0.25,0.4209,0.6709,660.211304602341,660.211304602341,-0,0,171.448959104916,0,-0,0,884.755263707256,13.3531688175018,300,55,37.7057795845145,31.5891249133601,23,31.5850710050029,300,55,37.6514935604156,31.5841597867089,23,31.5841748595513
2025-09-22T00:00:00+00:00,2025-09-22T01:00:00+01:00,2025-09-22,2,58.18,58.18,0.25,0.434,0.684,673.736773790154,673.736773790154,-0,0,173.259794191005,0,-0,0,900.091567981158,13.0918318562859,300,55,37.6514935604156,31.5841597867089,23,31.5841748595513,300,55,37.8255490788683,31.6757404608939,23,31.6742258360339
2025-09-22T00:15:00+00:00,2025-09-22T01:15:00+01:00,2025-09-22,2,58.18,58.18,0.23,0.424,0.654,642.762416871498,642.762416871498,-0,0,169.566165462405,60,300,0,925.423582333902,13.4602860050466,300,55,37.8255490788683,31.6757404608939,23,31.6742258360339,300,122.5,37.4527531694582,31.4874560201248,23,31.490545457666
2025-09-22T00:30:00+00:00,2025-09-22T01:30:00+01:00,2025-09-22,2,58.18,58.18,0.21,0.4155,0.6255,617.01921019778,617.01921019778,-0,0,163.980892591393,0,-0,0,834.095102789174,12.1319132700685,300,122.5,37.4527531694582,31.4874560201248,23,31.490545457666,300,122.5,36.9592324440288,31.2081238981184,23,31.2127955511062
2025-09-22T00:45:00+00:00,2025-09-22T01:45:00+01:00,2025-09-22,2,58.18,58.18,0.19,0.413,0.603,597.237984401024,597.237984401024,-0,0,158.57121235824,60,300,0,868.904196759263,12.6382115418635,300,122.5,36.9592324440288,31.2081238981184,23,31.2127955511062,300,190,36.5022150059641,30.9392529036143,23,30.9437776868089
2025-09-22T01:00:00+00:00,2025-09-22T02:00:00+01:00,2025-09-22,3,55.13,55.13,0.17,0.4265,0.5965,591.523408059739,591.523408059739,-0,0,155.373657540972,60,300,0,859.992065600711,11.8528406441418,300,190,36.5022150059641,30.9392529036143,23,30.9437776868089,300,257.5,36.2544762847292,30.7820920468971,23,30.7847665566052
2025-09-22T01:15:00+00:00,2025-09-22T02:15:00+01:00,2025-09-22,3,55.13,55.13,0.16,0.425,0.585,581.413003763619,581.413003763619,-0,0,152.566145712682,60,300,0,847.074149476301,11.6747994651571,300,257.5,36.2544762847292,30.7820920468971,23,30.7847665566052,300,325,36.020006295204,30.6428035966379,23,30.6451518652585
2025-09-22T01:30:00+00:00,2025-09-22T02:30:00+01:00,2025-09-22,3,55.13,55.13,0.16,0.4565,0.6165,609.106719879078,609.106719879078,-0,0,155.419182561606,60,300,0,877.620902440684,12.0958100878887,300,325,36.020006295204,30.6428035966379,23,30.6451518652585,300,392.5,36.3227820043607,30.7894168161264,23,30.7870304693126
2025-09-22T01:45:00+00:00,2025-09-22T02:45:00+01:00,2025-09-22,3,55.13,55.13,0.16,0.442,0.602,596.358818810057,596.358818810057,-0,0,154.987168194207,60,300,0,864.440987004264,11.9141579033863,300,392.5,36.3227820043607,30.7894168161264,23,30.7870304693126,300,460,36.2500372958967,30.7651854898092,23,30.7655468367402
2025-09-22T02:00:00+00:00,2025-09-22T03:00:00+01:00,2025-09-22,4,53.29,53.29,0.16,0.489519052838329,0.649519052838329,638.135934980856,638.135934980856,270,0,160.820315502159,60,300,0,1182.05125048301,15.74787778456,300,460,36.2500372958967,30.7651854898092,23,30.7655468367402,355.35,527.5,36.8128177113048,31.060502266462,23,31.0556232854921
2025-09-22T02:15:00+00:00,2025-09-22T03:15:00+01:00,2025-09-22,4,53.29,53.29,0.14,0.509519052838329,0.649519052838329,638.135934980856,638.135934980856,270,0,163.586039175853,60,300,0,1184.81697415671,15.7847241382028,355.35,527.5,36.8128177113048,31.060502266462,23,31.0556232854921,410.7,595,37.0137458771681,31.1954732106867,23,31.1931598946568
2025-09-22T02:30:00+00:00,2025-09-22T03:30:00+01:00,2025-09-22,4,53.29,53.29,0.12,0.529519052838329,0.649519052838329,638.135934980856,638.135934980856,270,0,164.687476111409,60,300,0,1185.91841109226,15.7993980317767,410.7,595,37.0137458771681,31.1954732106867,23,31.1931598946568,466.05,662.5,37.0898750967466,31.2488544944135,23,31.2479332267746
