timestamp_utc,timestamp_local,local_date,source_period,settlement_price_gbp_per_mwh,optimisation_price_gbp_per_mwh,inflexible_cpu,flexible_cpu_processed,total_cpu,p_it_total_kw,p_grid_it_kw,p_ups_charge_kw,p_ups_discharge_kw,p_chiller_hvac_kw,p_chiller_tes_kw,q_tes_charge_kw,q_tes_discharge_kw,grid_import_kw,settlement_cost_gbp,state_start_ups_energy_kwh,state_start_tes_energy_kwh,state_start_it_temperature_c,state_start_rack_temperature_c,state_start_cold_aisle_temperature_c,state_start_hot_aisle_temperature_c,state_end_ups_energy_kwh,state_end_tes_energy_kwh,state_end_it_temperature_c,state_end_rack_temperature_c,state_end_cold_aisle_temperature_c,state_end_hot_aisle_temperature_c
2025-09-21T23:00:00+00:00,2025-09-22T00:00:00+01:00,2025-09-22,1,60.37,60.37,0.28,0.4,0.68,669.606859534333,669.606859534333,0,0,168.080885184344,-0,0,0,890.782744718677,13.4441385746666,600,500,36.7635351174842,31.064199941861,23,31.0643264795356,600,500,37.4424949030049,31.4226105146535,23,31.4166839887685
2025-09-21T23:15:00+00:00,2025-09-22T00:15:00+01:00,2025-09-22,1,60.37,60.37,0.27,0.38,0.65,638.632502615677,638.632502615677,0,0,166.87578864634,-0,0,0,858.603291262017,12.958470173372,600,500,37.4424949030049,31.4226105146535,23,31.4166839887685,600,500,37.2502438680821,31.3557477996997,23,31.356755770657
2025-09-21T23:30:00+00:00,2025-09-22T00:30:00+01:00,2025-09-22,1,60.37,60.37,0.26,0.36,0.62,612.183799447462,612.183799447462,0,0,162.177136062817,-0,0,0,827.455935510279,12.4883787066889,600,500,37.2502438680821,31.3557477996997,23,31.356755770657,600,500,36.8152433120809,31.1191665210254,23,31.1230965840478
2025-09-21T23:45:00+00:00,2025-09-22T00:45:00+01:00,2025-09-22,1,60.37,60.37,0.25,0.34,0.59,585.808831718454,585.808831718454,0,0,156.132967370515,-0,0,0,795.036799088969,11.9990928902503,600,500,36.8152433120809,31.1191665210254,23,31.1230965840478,600,500,36.2883137493697,30.8174707735152,23,30.8225262577113
2025-09-22T00:00:00+00:00,2025-09-22T01:00:00+01:00,2025-09-22,2,58.18,58.18,0.25,0.31,0.56,559.433863989445,559.433863989445,0,0,149.571850348816,-0,0,0,762.100714338261,11.08475489005,600,500,36.2883137493697,30.8174707735152,23,30.8225262577113,600,500,35.7260533777309,30.490760747872,23,30.4962486197532
2025-09-22T00:15:00+00:00,2025-09-22T01:15:00+01:00,2025-09-22,2,58.18,58.18,0.23,0.32,0.55,550.642208079776,550.642208079776,0,0,145.394994310402,-0,0,0,749.132202390178,10.8961278837651,600,500,35.7260533777309,30.490760747872,23,30.4962486197532,600,500,35.3971397432888,30.2850442213975,23,30.2885378415736
2025-09-22T00:30:00+00:00,2025-09-22T01:30:00+01:00,2025-09-22,2,58.18,58.18,0.21,0.32,0.53,533.058896260437,533.058896260437,0,0,141.067822109888,-0,0,0,727.221718370325,10.5774398936964,600,500,35.3971397432888,30.2850442213975,23,30.2885378415736,600,500,35.0278592239922,30.0697326462817,23,30.0733519944149
2025-09-22T00:45:00+00:00,2025-09-22T01:45:00+01:00,2025-09-22,2,58.18,58.18,0.19,0.32,0.51,515.475584441098,515.475584441098,0,0,136.586996736855,-0,0,0,705.157581177952,10.2565170182333,600,500,35.0278592239922,30.0697326462817,23,30.0733519944149,600,500,34.6458898410248,29.8467772649186,23,29.8505251321625
2025-09-22T01:00:00+00:00,2025-09-22T02:00:00+01:00,2025-09-22,3,55.13,55.13,0.17,0.33,0.5,506.683928531428,506.683928531428,0,0,133.331469479144,-0,0,0,693.110398010572,9.55279406058072,600,500,34.6458898410248,29.8467772649186,23,29.8505251321625,600,500,34.3827054869621,29.6859080925825,23,29.688631091797
2025-09-22T01:15:00+00:00,2025-09-22T02:15:00+01:00,2025-09-22,3,55.13,55.13,0.16,0.3,0.46,471.51730489275,471.51730489275,0,0,126.784400513223,-0,0,0,651.396705405973,8.97787509225782,600,500,34.3827054869621,29.6859080925825,23,29.688631091797,600,500,33.7915085848376,29.3575759275241,23,29.3630520492826
