local_date,intervals,mean_price,price_std,minimum_price,maximum_price,mean_grid_import,peak_grid_import,mean_total_cpu,settlement_cost,opening_ups,opening_tes,opening_cold_aisle,negative_price_share,representative_score
2025-09-22,96,82.09291666666667,20.88579340461718,53.29,125.83,777.4003382259235,1356.55769933926,0.5654166666666667,1443.8472218290538,300.0,-0.0,23.0,0.0,0.13555199667665035
2025-06-17,96,82.29625,18.24515089147336,62.17,121.13,776.5261397894864,1356.55775828952,0.5654166666666668,1468.3415756198747,300.0,-0.0,23.0,0.0,0.15887201592107403
2025-09-04,96,77.89791666666666,19.45831625304483,45.18,117.54,777.8362136936012,1356.55775541114,0.5654166666666667,1373.5869827996275,300.0,-0.0,23.0,0.0,0.15958430629401826
2025-05-28,96,79.71583333333334,19.969629554936752,42.41,111.37,776.9096473430463,1461.25573219889,0.5654166666666667,1410.9218741047948,300.0,-0.0,23.0,0.0,0.1598128391624585
2025-07-08,96,74.74791666666667,16.71965826373675,55.84,106.9,775.4392682543022,1356.62217961702,0.5654166666666667,1325.840168887884,300.0,-0.0,23.0,0.0,0.1732291161344064
2025-04-11,96,81.455,13.45849135206782,63.03,108.3,776.718693590219,1391.1564291071,0.5654166666666667,1456.1315952365642,300.0,-0.0,23.0,0.0,0.19190654117900385
2025-05-14,96,78.38208333333334,12.251467273387187,59.93,100.75,776.5542806631365,1461.25576732048,0.5654166666666668,1398.1905299217965,300.0,-0.0,23.0,0.0,0.21951614980347495
2025-06-16,96,87.13791666666667,14.538014047872576,66.7,118.92,776.0229153294566,1461.2586141846,0.5654166666666668,1552.009560600459,300.0,-0.0,23.0,0.0,0.2316937936071843
2025-09-30,96,84.44,17.399016548130106,69.29,123.55,778.4029586818338,1355.46702091511,0.5654166666666667,1486.9347085098302,300.0,-0.0,23.0,0.0,0.23525586045009353
2025-04-17,96,84.44333333333333,13.32274783310716,68.03,108.39,776.5029113923375,1356.5576993393,0.5654166666666668,1509.235541073598,300.0,-0.0,23.0,0.0,0.24290521082952768
2025-09-02,96,82.29208333333334,11.752187873947618,65.26,105.78,775.3852030285922,1356.55499577338,0.5649178395259006,1478.6736994324383,300.0,-0.0,23.0,0.0,0.2444271398417098
2025-05-09,96,84.44833333333334,12.744307349737044,67.46,112.43,777.3344451415186,1461.2556426142,0.5654166666666668,1504.745750098648,300.0,-0.0,23.0,0.0,0.24574970260059556
2025-10-07,96,89.14333333333333,17.721375416898848,67.78,133.81,776.7301792526728,1356.55499576983,0.5654166666666668,1590.386467063662,300.0,-0.0,23.0,0.0,0.2516581136278884
2025-04-28,96,78.87916666666666,16.690651632869947,59.27,111.33,777.6178874985322,1271.38362354904,0.5654166666666667,1389.7790313426606,300.0,-0.0,23.0,0.0,0.2546445556436923
2025-12-03,96,85.7275,15.228738275828514,68.5,119.47,773.0834729217851,1331.62649626549,0.5654166666666668,1535.0944152683287,300.0,-0.0,23.0,0.0,0.2591042039719216
2025-07-18,96,89.03916666666667,14.833685964663195,68.93,121.52,773.7683125233357,1356.55775828952,0.5654166666666668,1600.9414718622613,300.0,-0.0,23.0,0.0,0.2684845958476419
2025-09-05,96,83.78750000000001,16.202561006146357,67.16,121.9,777.1598017812098,1285.78563656754,0.5654166666666667,1488.6984330946136,300.0,-0.0,23.0,0.0,0.26892994688751665
2025-10-10,96,86.14208333333333,13.48819022752998,72.0,116.38,776.4707182255306,1356.55769933926,0.5654166666666668,1540.2248235326535,300.0,-0.0,23.0,0.0,0.2708912322395037
2025-11-23,96,75.53083333333333,13.74104996115972,57.99,105.35,771.6054531217987,1296.59524755237,0.5654166666666667,1367.7033018134025,300.0,-0.0,23.0,0.0,0.2791862025065905
2025-04-30,96,79.33583333333333,12.844408463293666,60.87,105.03,775.9044985937502,1271.38362354904,0.5654166666666668,1412.886724139172,300.0,-0.0,23.0,0.0,0.2799985899254034
2025-08-28,96,82.63875,10.228971574585797,68.89,99.84,776.4799442171376,1461.25867625936,0.5654166666666668,1487.6791865376977,300.0,-0.0,23.0,0.0,0.2863729734394148
2025-06-18,96,89.15625,14.576271651665863,65.51,116.07,770.7232330491083,1356.55775828953,0.5654166666666668,1598.1943543590057,300.0,-0.0,23.0,0.0,0.29250541077262054
2025-05-13,96,81.86166666666666,13.2854781556616,66.82,108.45,776.1822892193671,1270.96703170335,0.5654166666666668,1457.8347305564314,300.0,-0.0,23.0,0.0,0.29705387882724255
2025-09-26,96,82.64041666666667,12.753084573559093,67.93,106.58,776.9303428811382,1285.78564069665,0.5654166666666668,1478.019715995523,300.0,-0.0,23.0,0.0,0.2977638314533349
2025-10-17,96,89.46166666666666,14.70358256857414,73.5,124.21,777.4183230724769,1356.55775813483,0.5654166666666667,1592.2209331421348,300.0,-0.0,23.0,0.0,0.29904925147736344
2025-10-11,96,85.93291666666666,12.162553221967547,71.9,116.63,772.4950319985657,1356.55775541033,0.5654166666666667,1550.7106122264681,300.0,-0.0,23.0,0.0,0.29912372016411487
2025-06-06,96,74.515,20.09575163272601,47.26,103.36,775.8625792156978,1577.83241305592,0.5654166666666667,1307.3690327823974,300.0,-0.0,23.0,0.0,0.3012252623983305
2025-05-08,96,85.72333333333334,13.81760697284955,67.44,113.87,776.1258607230498,1271.38362363902,0.5654166666666668,1525.235131122156,300.0,-0.0,23.0,0.0,0.3026696093562796
2025-10-16,96,90.79916666666666,19.901961588941912,71.53,142.8,777.5296504751701,1356.55778790333,0.5654166666666667,1609.0259599397762,300.0,-0.0,23.0,0.0,0.3028634653175226
2025-07-12,96,79.57333333333334,10.684350254034033,59.85,100.52,769.4074971204578,1461.25558525311,0.5654166666666667,1439.384603129577,300.0,-0.0,23.0,0.0,0.3115788766896608
2025-10-08,96,91.17291666666667,16.819736647081992,75.03,128.02,777.073516687943,1356.55769933926,0.5654166666666668,1612.6313265238723,300.0,-0.0,23.0,0.0,0.311603699478794
2025-08-01,96,75.92708333333333,14.717992563108579,49.1,97.73,775.3039563955363,1577.96166591159,0.5654166666666667,1353.0338686656125,300.0,-0.0,23.0,0.0,0.312295753250613
2025-04-29,96,79.52208333333333,13.666852401390882,60.75,106.61,777.172664269176,1239.85186121914,0.5654166666666668,1413.247293753691,300.0,-0.0,23.0,0.0,0.31319020823603905
2025-08-13,96,90.53625,18.22507325810127,70.55,135.2,771.3243623735802,1356.55775828953,0.5654166666666668,1619.9007967167565,300.0,-0.0,23.0,0.0,0.31396749556207804
2025-05-19,96,85.60916666666667,13.249605012318533,68.86,114.05,776.1248821665181,1270.96703625051,0.5654166666666668,1528.218136018613,300.0,-0.0,23.0,0.0,0.3140281179234465
2025-11-19,96,83.685,11.438228055631322,66.34,107.24,772.3101922881239,1290.52320690909,0.5654166666666668,1511.4465626956223,300.0,-0.0,23.0,0.0,0.3163368084267696
2025-10-18,96,83.20541666666666,9.783323288198316,71.57,105.78,772.3568333311406,1356.55480491268,0.5654166666666668,1500.997517312822,300.0,-0.0,23.0,0.0,0.3178670008271587
2025-10-01,96,80.105,13.707530316159115,65.43,113.12,776.5756071087181,1239.84909752712,0.5654166666666667,1428.2775521624048,300.0,-0.0,23.0,0.0,0.320605059101454
2025-04-25,96,81.50375,11.539996465383018,67.93,103.85,776.7176969308852,1271.61616329165,0.5654166666666668,1460.7271908941627,300.0,-0.0,23.0,0.0,0.3218380666990661
2025-05-20,96,85.51208333333334,13.34637722708747,71.45,115.7,778.4680123975414,1306.58061530522,0.566025198467066,1542.3597617512446,300.0,-0.0,23.0,0.0,0.3245153474133598
2025-06-30,96,79.36291666666666,21.529688579978963,45.04,118.38,778.1579913735546,1602.59294226024,0.5654166666666667,1398.317837657743,300.0,-0.0,23.0,0.0,0.324633478874509
2025-06-13,96,83.38916666666667,12.71767867486802,62.17,105.12,774.7873186419723,1577.96166538893,0.5654166666666668,1501.0426245015592,300.0,-0.0,23.0,0.0,0.32592108201742753
2025-11-11,96,74.90166666666667,10.984488457213965,51.02,92.98,771.3729847171415,1289.1395511183,0.5654166666666667,1347.5799421485037,300.0,-0.0,23.0,0.0,0.3294403764259794
