component,baseline_cost_gbp,optimised_cost_gbp,cost_change_gbp,baseline_energy_kwh,optimised_energy_kwh
IT electrical demand,407652.91860351997,390930.74659189046,-16722.172011629504,4964735.322836949,4961243.633854449
CRAC chiller,105336.5917129138,90911.1293833559,-14425.462329557893,1288013.991108493,1191219.4326878623
TES charging chiller,0.0,6897.291587922596,6897.291587922596,0.0,118266.59032598019
UPS net grid effect,0.0,-5376.569986185654,-5376.569986185654,0.0,52703.57786427555
Auxiliary overhead,37514.08429370003,37514.084293700056,2.9103830456733704e-11,465112.2000000002,465112.20000000077
Total settlement cost,550503.5946101338,520876.6818706834,-29626.912739450425,6717861.513945442,6788545.4347325675
