label,scenario,parameter,multiplier,annual_cost_gbp,saving_gbp,saving_percent,change_from_central_pp,grid_energy_kwh,peak_grid_import_kw,non_optimal_horizons,maximum_recorded_gap_percent,final_workload_cpu_h,final_ups_energy_kwh,final_tes_energy_kwh
Baseline,2025_baseline_reformulated,baseline,1.0,550503.5946101338,0.0,0.0,-5.04926139179019,6717861.513945443,974.9227347080529,0,0.0,0.0,600.0,500.0
Flexible workload 0.5x,2025_flex_0p5,flex,0.5,531117.0166961171,19386.57791401667,3.5216078702894267,-1.5276535215007634,6782090.192650387,1680.2398272086562,3,8.200782931750929,0.286393447161671,300.0,-0.0
Flexible workload 1.0x,2025_optimised_reformulated,flex,1.0,522707.2291470671,27796.36546306667,5.04926139179019,0.0,6794101.812976351,1681.9371541496196,3,0.858068008755142,0.642875,300.0,-0.0
Flexible workload 1.5x,2025_flex_1p5,flex,1.5,516058.3170264206,34445.27758371318,6.2570486225629995,1.2077872307728095,6806893.469304491,1682.0747853585872,2,1.1813913369563211,0.898218447161671,300.0,-0.0
UPS capacity 0.5x,2025_ups_0p5,ups,0.5,525374.0137723857,25129.58083774813,4.564835013574231,-0.484426378215959,6771109.329395226,1681.9371564066312,2,2.3152414406035713,0.642875,150.0,-0.0
UPS capacity 1.5x,2025_ups_1p5,ups,1.5,520221.54067260795,30282.053937525838,5.500791317987953,0.4515299261977628,6815353.346089361,1681.9371564066312,2,0.8695206827913703,0.642875,450.0,-0.0
TES capacity 0.5x,2025_tes_0p5,tes,0.5,524079.70668840973,26423.88792172406,4.7999482983280854,-0.24931309346210462,6784397.171375665,1681.9371564066312,2,0.9282825341650881,0.642875,300.0,-0.0
TES capacity 1.5x,2025_tes_1p5,tes,1.5,522057.40680599224,28446.187804141548,5.167302826476022,0.11804143468583206,6799048.031325387,1681.9371564066312,2,0.9963867133811221,0.642875,300.0,-0.0
