case,continuation_price_gbp_per_mwh,ups_terminal_value_gbp_per_kwh,tes_terminal_value_gbp_per_kwh_th,committed_31_december_cost_gbp,lookahead_1_january_cost_gbp,lookahead_1_january_grid_energy_kwh,workload_carried_at_midnight_cpu_h,carried_workload_completed_in_lookahead_cpu_h,unserved_after_lookahead_cpu_h,core_closing_ups_kwh,core_closing_tes_kwh,horizon_terminal_ups_kwh,horizon_terminal_tes_kwh,solver_runtime_s,solver_gap_percent,committed_cost_change_from_zero_gbp,annual_cost_change_percent
zero_terminal_value,0.0,0.0,0.0,1465.6957210624532,89.54194736632024,2313.103747477837,0.642875,0.642875,0.0,300.0,-0.0,300.0,0.0,1.2724481000004744,0.0004218979925749396,0.0,0.0
median_1_january_value,34.785,0.032002199999999995,0.006261299999999999,1465.6957210624532,89.54194736632024,2313.103747477837,0.642875,0.642875,0.0,300.0,-0.0,300.0,0.0,1.066757199998392,0.0004218979925749396,0.0,0.0
maximum_1_january_value,85.49,0.0786508,0.015388200000000001,1467.684809951342,108.16180590290557,2858.9574060144223,0.642875,0.642875,1.0408340855860843e-17,300.0,190.0,600.0,1000.0,1.4283832000000984,0.0004269421381134431,1.989088888888773,0.00038053594401869843
